type	id	label	language
ability	1	あくしゅう	Japanese
ability	1	악취	Korean
ability	1	惡臭	Chinese
ability	1	Puanteur	French
ability	1	Duftnote	German
ability	1	Hedor	Spanish
ability	1	Tanfo	Italian
ability	1	Stench	English
ability	2	あめふらし	Japanese
ability	2	잔비	Korean
ability	2	降雨	Chinese
ability	2	Crachin	French
ability	2	Niesel	German
ability	2	Llovizna	Spanish
ability	2	Piovischio	Italian
ability	2	Drizzle	English
ability	3	かそく	Japanese
ability	3	가속	Korean
ability	3	加速	Chinese
ability	3	Turbo	French
ability	3	Temposchub	German
ability	3	Impulso	Spanish
ability	3	Acceleratore	Italian
ability	3	Speed Boost	English
ability	4	カブトアーマー	Japanese
ability	4	전투무장	Korean
ability	4	戰鬥盔甲	Chinese
ability	4	Armurbaston	French
ability	4	Kampfpanzer	German
ability	4	Armadura Batalla	Spanish
ability	4	Lottascudo	Italian
ability	4	Battle Armor	English
ability	5	がんじょう	Japanese
ability	5	옹골참	Korean
ability	5	結實	Chinese
ability	5	Fermeté	French
ability	5	Robustheit	German
ability	5	Robustez	Spanish
ability	5	Vigore	Italian
ability	5	Sturdy	English
ability	6	しめりけ	Japanese
ability	6	습기	Korean
ability	6	濕氣	Chinese
ability	6	Moiteur	French
ability	6	Feuchtigkeit	German
ability	6	Humedad	Spanish
ability	6	Umidità	Italian
ability	6	Damp	English
ability	7	じゅうなん	Japanese
ability	7	유연	Korean
ability	7	柔軟	Chinese
ability	7	Échauffement	French
ability	7	Flexibilität	German
ability	7	Flexibilidad	Spanish
ability	7	Scioltezza	Italian
ability	7	Limber	English
ability	8	すながくれ	Japanese
ability	8	모래숨기	Korean
ability	8	沙隱	Chinese
ability	8	Voile Sable	French
ability	8	Sandschleier	German
ability	8	Velo Arena	Spanish
ability	8	Sabbiavelo	Italian
ability	8	Sand Veil	English
ability	9	せいでんき	Japanese
ability	9	정전기	Korean
ability	9	靜電	Chinese
ability	9	Statik	French
ability	9	Statik	German
ability	9	Elec. Estática	Spanish
ability	9	Statico	Italian
ability	9	Static	English
ability	10	ちくでん	Japanese
ability	10	축전	Korean
ability	10	蓄電	Chinese
ability	10	Absorbe-Volt	French
ability	10	Voltabsorber	German
ability	10	Absorbe Elec	Spanish
ability	10	Assorbivolt	Italian
ability	10	Volt Absorb	English
ability	11	ちょすい	Japanese
ability	11	저수	Korean
ability	11	儲水	Chinese
ability	11	Absorbe-Eau	French
ability	11	H2O-Absorber	German
ability	11	Absorbe Agua	Spanish
ability	11	Assorbacqua	Italian
ability	11	Water Absorb	English
ability	12	どんかん	Japanese
ability	12	둔감	Korean
ability	12	遲鈍	Chinese
ability	12	Benêt	French
ability	12	Dösigkeit	German
ability	12	Despiste	Spanish
ability	12	Indifferenza	Italian
ability	12	Oblivious	English
ability	13	ノーてんき	Japanese
ability	13	날씨부정	Korean
ability	13	無關天氣	Chinese
ability	13	Ciel Gris	French
ability	13	Wolke Sieben	German
ability	13	Aclimatación	Spanish
ability	13	Antimeteo	Italian
ability	13	Cloud Nine	English
ability	14	ふくがん	Japanese
ability	14	복안	Korean
ability	14	複眼	Chinese
ability	14	Œil Composé	French
ability	14	Facettenauge	German
ability	14	Ojo Compuesto	Spanish
ability	14	Insettocchi	Italian
ability	14	Compound Eyes	English
ability	15	ふみん	Japanese
ability	15	불면	Korean
ability	15	不眠	Chinese
ability	15	Insomnia	French
ability	15	Insomnia	German
ability	15	Insomnio	Spanish
ability	15	Insonnia	Italian
ability	15	Insomnia	English
ability	16	へんしょく	Japanese
ability	16	변색	Korean
ability	16	變色	Chinese
ability	16	Homochromie	French
ability	16	Farbwechsel	German
ability	16	Cambio Color	Spanish
ability	16	Cambiacolore	Italian
ability	16	Color Change	English
ability	17	めんえき	Japanese
ability	17	면역	Korean
ability	17	免疫	Chinese
ability	17	Vaccin	French
ability	17	Immunität	German
ability	17	Inmunidad	Spanish
ability	17	Immunità	Italian
ability	17	Immunity	English
ability	18	もらいび	Japanese
ability	18	타오르는불꽃	Korean
ability	18	引火	Chinese
ability	18	Torche	French
ability	18	Feuerfänger	German
